192,嗓子疼,911,all,2022-12-01,271
193,嗓子疼,911,all,2022-12-02,283
194,嗓子疼,911,all,2022-12-03,265
195,嗓子疼,911,all,2022-12-04,351
196,嗓子疼,911,all,2022-12-05,412
197,嗓子疼,911,all,2022-12-06,534
198,嗓子疼,911,all,2022-12-07,674
199,嗓子疼,911,all,2022-12-08,816
200,嗓子疼,911,all,2022-12-09,1020
201,嗓子疼,911,all,2022-12-10,1002
202,嗓子疼,911,all,2022-12-11,1024
203,嗓子疼,911,all,2022-12-12,1183
204,嗓子疼,911,all,2022-12-13,1205
205,嗓子疼,911,all,2022-12-14,1166
206,嗓子疼,911,all,2022-12-15,1115
207,嗓子疼,911,all,2022-12-16,1090
208,嗓子疼,911,all,2022-12-17,987
209,嗓子疼,911,all,2022-12-18,961
210,嗓子疼,911,all,2022-12-19,913
211,嗓子疼,911,all,2022-12-20,753
212,嗓子疼,911,all,2022-12-21,750
213,嗓子疼,911,all,2022-12-22,657
214,嗓子疼,911,all,2022-12-23,541
215,嗓子疼,911,all,2022-12-24,465
216,嗓子疼,911,all,2022-12-25,396
217,嗓子疼,911,all,2022-12-26,357
218,嗓子疼,911,all,2022-12-27,348
219,嗓子疼,911,all,2022-12-28,347
220,嗓子疼,911,all,2022-12-29,323
221,嗓子疼,911,all,2022-12-30,285
222,嗓子疼,911,all,2022-12-31,228
223,嗓子疼,911,all,2023-01-01,218
